name1,name2,name3,name4,name5,name6,name7,name8
267,1008,785,1290,1013,1012,133,952
294,611,351,711,1013,1004,670,447
190,1176,408,913,1115,757,880,687
495,302,1337,807,1088,359,3637,261
480,516,318,736,941,251,541,443
349,603,1774,743,394,705,539,346
394,683,101,689,620,582,539,362
