806,GGGR,267,
733,GGGR,294,ttest
917,YYGG,190,0.038486378
773,RYRG,495,
538,GRRR,480,
637,RGRG,349,
507,GGRR,394,
479,GRRR,1008,
664,GRRR,611,
2326,GRRR,1176,
566,YGGG,302,
758,RRRG,516,
872,RGRY,603,
797,RYYG,683,
781,GYRR,785,
1196,GYRR,351,
1240,RGYG,408,
1033,RRGR,1337,
737,RGGG,318,
793,RRYR,1774,
905,YRYG,101,
878,RYRY,1290,
947,YRYR,711,
771,GGRY,913,
876,GGRG,807,
968,YRGY,736,
698,YGYG,743,
718,YRGG,689,
967,YRGG,1013,
4328,YRGY,1013,
952,GYYG,1115,
771,GYYG,1088,
720,GYGY,941,
995,GRGR,394,
1039,YRYY,620,
795,GRGG,1012,
1944,GRGG,1004,
1078,YGRY,757,
691,GYRY,359,
832,GYRG,251,
558,GRGG,705,
584,YRRG,582,
615,YRYR,133,
829,YYYG,670,
826,RYGY,880,
804,GGGR,3637,
486,GGGG,541,
825,YRGG,539,
747,RRYY,539,
919,RYRG,952,
1786,GRYR,447,
755,YRRG,687,
745,YYGR,261,
586,GGGR,443,
713,GRGG,346,
901,GRGG,362,
473,GGRR,,
1244,YGYR,,
554,YGGG,,
3142,YRYRYGGY,,
2285,YRGYGYRG,,
2500,GYRGRGYY,,
1760,GYGRYRRY,,
5570,GGRYRYGG,,
3692,RYGRGGRG,,
2082,RYGRGYRG,,
3718,RGRRRGGG,,
6050,GYYYYGGG,,
1888,RYYRYGGG,,
3424,RYGYYRYG,,
3067,YYGRGYRY,,
2530,GRGYYGGY,,
2646,GRRGRRYR,,
4056,RRGGGRGR,,
2682,GYYYGRRY,,
3269,RGRRGGGG,,
4220,YGRYYYRY,,
3997,GYYGRRRY,,
3374,RYGYYRYR,,
2636,YGRYYRRG,,
3793,RGYRGYGY,,
3901,GGGYGGRR,,
1916,GRRYYGGR,,
2113,YYYYYYRY,,
2141,GGYYYGRR,,
2319,RYYYYYRG,,
1787,RRRYYYRG,,
2707,RGYRGRYG,,
2246,RRGRRGGR,,
2944,RGRYYYGY,,
2547,RYYGRYYG,,
2739,GGGYYYYR,,
1607,RYGGRRYY,,
1807,GRGGGYGG,,
1811,RGRGRYYG,,
1849,RRYGYYYR,,
2500,RGYGRRGY,,
2811,RYYRYRYR,,
2403,YRRGYYYY,,
1824,YYRYGGYG,,
3744,GRGGYRGY,,
2265,GRRRGGGR,,
2380,RGYGGGGR,,
6988,YGRGRRYY,,
5038,RRRYYRRG,,
4566,YGRRRGGY,,
5158,RYRYYYRY,,
5200,RRRRGRYY,,
5048,YYYGYRRY,,
2535,RRRGRRGR,,
5723,GYYGGGYY,,
3737,YRYRYGGG,,
